workflow_type,mae,r2
makeflow,0.17365117,-1.7756109237670898
airrflow,0.20424914,0.2717246413230896
atacseq,0.41163465,-0.5333727598190308
chipseq,0.27903876,0.16171467304229736
cutandrun,0.30604485,0.43900156021118164
fetchngs,0.1789348,0.527929425239563
hic,0.2884571,0.5285876393318176
mag,0.48457426,-0.08987903594970703
methylseq,0.32864472,0.23102295398712158
rnaseq,0.45247522,0.12310558557510376
sarek,0.24545687,-0.6213912963867188
smrnaseq,0.29648212,0.441459059715271
taxprofiler,0.33960676,0.28633230924606323
viralrecon,0.3170653,0.6586763858795166
1000genome,0.2416695,0.24727863073349
cycles,0.17553583,-1.6301345825195312
genome,0.118204765,0.30031055212020874
montage,0.24463645,0.0779377818107605
seismology,0.08122233,-189.94224548339844
soykb,0.24755667,-0.175207257270813
srasearch,0.20391016,-0.5592813491821289
