workflow_type,task_category,task_instances,workflows_with_this_task
1000genome,individuals,4620,4620
1000genome,mutation_overlap,1848,1848
1000genome,frequency,1848,1848
1000genome,file_handling,264,264
1000genome,sifting,264,264
airrflow,preprocessing,8,8
airrflow,file_handling,8,8
airrflow,gunzip_umi,8,8
airrflow,presto_filterseq_umi,8,8
airrflow,presto_maskprimers_umi,8,8
airrflow,presto_pairseq_umi,8,8
airrflow,presto_clustersets_umi,8,8
airrflow,presto_parse_cluster_umi,8,8
airrflow,presto_buildconsensus_umi,8,8
airrflow,presto_postconsensus_pairseq_umi,8,8
airrflow,presto_assemblepairs_umi,8,8
airrflow,qc,8,8
airrflow,presto_parseheaders_collapse_umi,8,8
airrflow,presto_parseheaders_primers_umi,8,8
airrflow,presto_parseheaders_metadata_umi,8,8
airrflow,presto_collapseseq_umi,8,8
airrflow,data_splitting,8,8
airrflow,changeo_assigngenes,8,8
airrflow,changeo_makedb,8,8
airrflow,filter_quality,8,8
airrflow,filtering,8,8
airrflow,filter_junction_mod3,8,8
airrflow,add_meta_to_tab,8,8
airrflow,file_concatenation,8,8
airrflow,dowser_lineages,8,8
airrflow,define_clones_compute,2,2
airrflow,samplesheet_check,1,1
airrflow,unzip_imgt,1,1
airrflow,blast_search,1,1
airrflow,parse_logs,1,1
airrflow,find_clonal_threshold,1,1
airrflow,define_clones_report,1,1
airrflow,report_file_size,1,1
airrflow,airrflow_report,1,1
airrflow,custom_dumpsoftwareversions,1,1
airrflow,reporting,1,1
atacseq,file_handling,93,93
atacseq,visualization,32,32
atacseq,indexing,22,22
atacseq,deduplication,22,22
atacseq,homer_annotatepeaks,10,10
atacseq,alignment,9,9
atacseq,reporting,9,9
atacseq,qc,8,8
atacseq,trimgalore,8,8
atacseq,macs2_callpeak,8,8
atacseq,frip_score,8,8
atacseq,genomic_interval_ops,8,8
atacseq,bamtools_filter,6,6
atacseq,bam_remove_orphans,3,3
atacseq,plot_macs2_qc,2,2
atacseq,macs2_consensus,2,2
atacseq,quantification,2,2
atacseq,plot_homer_annotatepeaks,2,2
atacseq,deseq2_qc,2,2
atacseq,samplesheet_check,1,1
atacseq,khmer_uniquekmers,1,1
atacseq,custom_getchromsizes,1,1
atacseq,gtf2bed,1,1
atacseq,get_autosomes,1,1
atacseq,genome_blacklist_regions,1,1
atacseq,tss_extract,1,1
atacseq,igv,1,1
atacseq,custom_dumpsoftwareversions,1,1
bacass,qc,2,2
bacass,skewer,2,2
bacass,unicycler,2,2
bacass,prokka,2,2
bacass,quast,1,1
bacass,get_software_versions,1,1
bacass,reporting,1,1
blast,blast_search,2215,2215
blast,data_splitting,15,15
blast,file_concatenation,15,15
bwa,alignment,10530,10530
bwa,fastq_reduce,15,15
bwa,file_concatenation,15,15
chain,compute_intensive,5,5
chipseq,file_handling,66,66
chipseq,visualization,28,28
chipseq,indexing,18,18
chipseq,deduplication,18,18
chipseq,reporting,11,11
chipseq,alignment,7,7
chipseq,qc,6,6
chipseq,trimgalore,6,6
chipseq,bam_filter,6,6
chipseq,bam_remove_orphans,6,6
chipseq,phantompeakqualtools,6,6
chipseq,genomic_interval_ops,6,6
chipseq,macs2_callpeak,4,4
chipseq,frip_score,4,4
chipseq,homer_annotatepeaks_macs2,4,4
chipseq,samplesheet_check,1,1
chipseq,custom_getchromsizes,1,1
chipseq,khmer_uniquekmers,1,1
chipseq,gtf2bed,1,1
chipseq,genome_blacklist_regions,1,1
chipseq,macs2_consensus,1,1
chipseq,plot_macs2_qc,1,1
chipseq,quantification,1,1
chipseq,homer_annotatepeaks_consensus,1,1
chipseq,plot_homer_annotatepeaks,1,1
chipseq,igv,1,1
chipseq,deseq2_qc,1,1
chipseq,annotate_boolean_peaks,1,1
chipseq,custom_dumpsoftwareversions,1,1
cutandrun,file_handling,42,42
cutandrun,visualization,15,15
cutandrun,indexing,12,12
cutandrun,filtering,11,11
cutandrun,genomic_interval_ops,9,9
cutandrun,alignment,4,4
cutandrun,qc,3,3
cutandrun,deduplication,3,3
cutandrun,trimgalore,2,2
cutandrun,complexity_estimation,2,2
cutandrun,samplesheet_check,1,1
cutandrun,gunzip_bed,1,1
cutandrun,gunzip_gtf,1,1
cutandrun,gunzip_spikein_fasta,1,1
cutandrun,gunzip_fasta,1,1
cutandrun,spikein_chromsizes,1,1
cutandrun,target_chromsizes,1,1
cutandrun,cut,1,1
cutandrun,seacr_callpeak_igg,1,1
cutandrun,primary_peak_counts,1,1
cutandrun,igv_session,1,1
cutandrun,sort,1,1
cutandrun,cut_calc_reprod,1,1
cutandrun,plot_consensus_peaks,1,1
cutandrun,consensus_peak_counts,1,1
cutandrun,custom_dumpsoftwareversions,1,1
cutandrun,reporting,1,1
cycles,baseline_cycles,7560,7560
cycles,cycles,7560,7560
cycles,fertilizer_increase_cycles,7560,7560
cycles,cycles_fertilizer_increase_output_parser,7560,7560
cycles,cycles_output_summary,216,216
cycles,cycles_fertilizer_increase_output_summary,216,216
cycles,cycles_plots,48,48
epigenomics,file_handling,124,124
epigenomics,data_splitting,98,98
epigenomics,chr21_chr21,26,26
epigenomics,pileup_pileup,26,26
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_1_sequence_1,14,14
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_1_sequence_2,14,14
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_1_sequence_3,14,14
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_1_sequence_4,14,14
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_1_sequence_5,14,14
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_1_sequence_6,14,14
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_1_sequence_7,14,14
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_1_sequence_8,14,14
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_1_sequence_9,14,14
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_1_sequence_1,14,14
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_1_sequence_2,14,14
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_1_sequence_3,14,14
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_1_sequence_4,14,14
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_1_sequence_5,14,14
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_1_sequence_6,14,14
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_1_sequence_7,14,14
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_1_sequence_8,14,14
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_1_sequence_9,14,14
epigenomics,map_map_hep2_msp1_digests_s_1_sequence_1,14,14
epigenomics,map_map_hep2_msp1_digests_s_1_sequence_2,14,14
epigenomics,map_map_hep2_msp1_digests_s_1_sequence_3,14,14
epigenomics,map_map_hep2_msp1_digests_s_1_sequence_4,14,14
epigenomics,map_map_hep2_msp1_digests_s_1_sequence_5,14,14
epigenomics,map_map_hep2_msp1_digests_s_1_sequence_6,14,14
epigenomics,map_map_hep2_msp1_digests_s_1_sequence_7,14,14
epigenomics,map_map_hep2_msp1_digests_s_1_sequence_8,14,14
epigenomics,map_map_hep2_msp1_digests_s_1_sequence_9,14,14
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_1_sequence_1,14,14
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_1_sequence_2,14,14
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_1_sequence_3,14,14
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_1_sequence_4,14,14
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_1_sequence_5,14,14
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_1_sequence_6,14,14
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_1_sequence_7,14,14
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_1_sequence_8,14,14
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_1_sequence_9,14,14
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_1,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_10,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_11,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_12,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_13,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_14,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_15,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_16,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_17,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_18,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_19,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_2,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_3,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_4,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_5,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_6,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_7,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_8,12,12
epigenomics,fast2bfq_fast2bfq_hep2_msp1_digests_s_2_sequence_9,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_1,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_10,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_11,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_12,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_13,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_14,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_15,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_16,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_17,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_18,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_19,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_2,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_3,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_4,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_5,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_6,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_7,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_8,12,12
epigenomics,filtercontams_filtercontams_hep2_msp1_digests_s_2_sequence_9,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_1,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_10,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_11,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_12,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_13,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_14,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_15,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_16,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_17,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_18,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_19,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_2,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_3,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_4,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_5,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_6,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_7,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_8,12,12
epigenomics,map_map_hep2_msp1_digests_s_2_sequence_9,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_1,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_10,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_11,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_12,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_13,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_14,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_15,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_16,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_17,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_18,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_19,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_2,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_3,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_4,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_5,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_6,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_7,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_8,12,12
epigenomics,sol2sanger_sol2sanger_hep2_msp1_digests_s_2_sequence_9,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_1,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_10,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_11,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_12,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_13,12,12
epigenomics,fast2bfq_fast2bfq_080603_ilmn-ga001_0003_205wwaaxx_taq1_s_1_sequence_14,12,12
